Algoritmo,Movement,File name,Timestamp,Tempo de Processamento (s),Pacotes,Depenências,Peso da mochila,Benefício mochila
RANDOM,EJECTION_CHAIN,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-17 12:26:34,0.00038,34,69,11991,10230
GREEDY -> Package: Benefit Ratio,EJECTION_CHAIN,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-17 12:26:34,0.00035,33,67,12013,11350
GREEDY -> Package: Benefit,EJECTION_CHAIN,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-17 12:26:34,0.00030,23,66,12001,8881
GREEDY -> Package: Size,EJECTION_CHAIN,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-17 12:26:34,0.00033,30,66,12008,7592
RANDOM_GREEDY (Package: Benefit),EJECTION_CHAIN,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-17 12:26:34,0.00034,31,68,12002,9930
RANDOM_GREEDY (Package: Benefit Ratio),EJECTION_CHAIN,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-17 12:26:34,0.00036,33,65,12009,10671
RANDOM_GREEDY (Package: Size),EJECTION_CHAIN,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-17 12:26:34,0.00035,35,67,11996,9155
VND,ADD,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-17 12:26:34,10.19232,40,69,12008,12596
VNS,ADD,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-17 12:26:34,5.41414,39,68,12006,12342
GRASP,EJECTION_CHAIN,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-17 12:26:34,89.00382,40,68,11995,13044
RANDOM,EJECTION_CHAIN,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-17 12:26:34,0.00060,23,62,12010,6213
GREEDY -> Package: Benefit Ratio,EJECTION_CHAIN,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-17 12:26:34,0.00057,33,67,12013,11350
GREEDY -> Package: Benefit,EJECTION_CHAIN,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-17 12:26:34,0.00050,23,66,12001,8881
GREEDY -> Package: Size,EJECTION_CHAIN,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-17 12:26:34,0.00052,30,66,12008,7592
RANDOM_GREEDY (Package: Benefit),EJECTION_CHAIN,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-17 12:26:34,0.00059,24,66,12015,8961
RANDOM_GREEDY (Package: Benefit Ratio),EJECTION_CHAIN,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-17 12:26:34,0.00069,37,67,11985,11478
RANDOM_GREEDY (Package: Size),EJECTION_CHAIN,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-17 12:26:34,0.00057,30,66,11998,7587
VND,ADD,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-17 12:26:34,12.20856,39,67,11949,12224
VNS,ADD,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-17 12:26:34,10.30961,39,67,11949,12224
GRASP,EJECTION_CHAIN,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-17 12:26:34,89.00297,41,70,11967,12935
RANDOM,EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00170,12,219,38882,2683
GREEDY -> Package: Benefit Ratio,EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00165,21,239,38874,9642
GREEDY -> Package: Benefit,EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00162,15,233,38832,7704
GREEDY -> Package: Size,EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00158,19,233,38858,4794
RANDOM_GREEDY (Package: Benefit),EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00173,17,236,38908,8461
RANDOM_GREEDY (Package: Benefit Ratio),EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00170,17,232,38719,8315
RANDOM_GREEDY (Package: Size),EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00169,19,231,38782,4215
VND,ADD,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,50.51305,23,241,38884,10379
VNS,EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,37.66191,21,239,38874,9642
GRASP,EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,89.03019,28,245,38887,11538
RANDOM,EJECTION_CHAIN,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-17 12:26:34,0.00070,28,66,12012,7004
GREEDY -> Package: Benefit Ratio,EJECTION_CHAIN,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-17 12:26:34,0.00061,33,67,12013,11350
GREEDY -> Package: Benefit,EJECTION_CHAIN,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-17 12:26:34,0.00062,23,66,12001,8881
GREEDY -> Package: Size,EJECTION_CHAIN,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-17 12:26:34,0.00064,30,66,12008,7592
RANDOM_GREEDY (Package: Benefit),EJECTION_CHAIN,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-17 12:26:34,0.00067,30,67,11960,10340
RANDOM_GREEDY (Package: Benefit Ratio),EJECTION_CHAIN,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-17 12:26:34,0.00069,26,66,12000,9147
RANDOM_GREEDY (Package: Size),EJECTION_CHAIN,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-17 12:26:34,0.00065,30,65,11936,8176
VND,ADD,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-17 12:26:34,16.73659,40,69,12008,12596
VNS,ADD,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-17 12:26:34,7.41073,38,67,12009,12319
GRASP,EJECTION_CHAIN,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-17 12:26:34,89.00499,40,68,11995,13044
RANDOM,EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00390,14,224,38870,4386
GREEDY -> Package: Benefit Ratio,EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00362,21,239,38874,9642
GREEDY -> Package: Benefit,EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00353,15,233,38832,7704
GREEDY -> Package: Size,EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00376,19,233,38858,4794
RANDOM_GREEDY (Package: Benefit),EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00385,14,230,38739,7144
RANDOM_GREEDY (Package: Benefit Ratio),EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00378,20,235,38889,9073
RANDOM_GREEDY (Package: Size),EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00386,19,232,38824,4425
VND,ADD,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,42.61085,23,241,38884,10379
VNS,EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,35.12884,21,239,38874,9642
GRASP,EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,89.03876,28,245,38887,11538
RANDOM,EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00295,13,224,38906,3861
GREEDY -> Package: Benefit Ratio,EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00344,21,239,38874,9642
GREEDY -> Package: Benefit,EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00349,15,233,38832,7704
GREEDY -> Package: Size,EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00231,19,233,38858,4794
RANDOM_GREEDY (Package: Benefit),EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00241,16,236,38872,8129
RANDOM_GREEDY (Package: Benefit Ratio),EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00224,17,238,38917,8158
RANDOM_GREEDY (Package: Size),EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,0.00227,19,229,38909,4825
VND,ADD,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,42.09773,23,241,38884,10379
VNS,EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,39.37552,21,239,38874,9642
GRASP,EJECTION_CHAIN,sukp07_285_300_0.10_0.75.knapsack.txt,2025-10-17 12:27:23,89.05264,28,245,38887,11538
