Algoritmo," Movement",File name,Timestamp,Tempo de Processamento (s),Pacotes,Depenências,Peso da mochila,Benefício mochila
VNS,EJECTION_CHAIN,instancia_original.knapsack.txt,2025-10-16 22:42:40,9.22569,27,80,12175,10282
VND,EJECTION_CHAIN,instancia_original.knapsack.txt,2025-10-16 22:42:40,9.35373,27,80,12175,10282
RANDOM_GREEDY (Package: Size),EJECTION_CHAIN,instancia_original.knapsack.txt,2025-10-16 22:42:40,0.00027,23,80,12109,7028
RANDOM_GREEDY (Package: Benefit),EJECTION_CHAIN,instancia_original.knapsack.txt,2025-10-16 22:42:40,0.00029,27,80,12175,10282
RANDOM_GREEDY (Package: Benefit Ratio),EJECTION_CHAIN,instancia_original.knapsack.txt,2025-10-16 22:42:40,0.00028,27,79,12164,9437
RANDOM,EJECTION_CHAIN,instancia_original.knapsack.txt,2025-10-16 22:42:40,0.00034,23,75,12156,6387
GREEDY -> Package: Size,EJECTION_CHAIN,instancia_original.knapsack.txt,2025-10-16 22:42:40,0.00027,29,81,12171,8668
GREEDY -> Package: Benefit Ratio,EJECTION_CHAIN,instancia_original.knapsack.txt,2025-10-16 22:42:40,0.00028,28,79,12085,9868
GREEDY -> Package: Benefit,EJECTION_CHAIN,instancia_original.knapsack.txt,2025-10-16 22:42:40,0.00028,25,77,12105,9515
GRASP,SWAP_REMOVE_1_ADD_1,instancia_original.knapsack.txt,2025-10-16 22:42:40,0.25539,28,80,12158,11021